id,title,company,description,industry_of_company,summary_of_applicant
92,Channel Sales Manager. Managing Partner-Founder. Owner,Cbeyond. Innovative Business Solutions,,,"My time in the telecom industry started with me cold calling in 2005 at Cbeyond, but I quickly moved up the ranks into the channel. In 2008, I left to create Innovative Business Solutions with a focus on elevating the partner telco experience. Over the years, I and my business partner, Jed Kenzy, have faced many challenges, resulting in problem solving through new, forward-thinking ventures:      • Innovative Business Solutions: A cable-first Technology Services Distributor (TSD) founded to provide subagents a unique approach to selling telecom by giving them multiple support options.     • ClearConnect: A sales enablement company offering a concierge experience to help businesses find the best business-class services available for their needs.     • CableFinder: A channel-adopted software designed to solve the complexities of simple, transactional cable orders for both partners and end users.     • Innov8: A new venture created to bridge the selling gap between the traditional indirect channel and MS"
94,"COUNTRY MANAGER EGYPT&LIBYA PRODUCTS & SERVICES (PROCESS PIPLINES SERVICES). ENERPAC SALES MANAGER EGYPT & LIBYA. Enerpac Sales Manager Egypt, Libya, Tunisia and Morrocco. Enerpac Sales Manager Saudi and North Africa. Enerpac Sales Manager Saudi Arabia, Kuwait, and North Africa. Financial Advisor. Inside sales and Marketing. Tour Leader",CIL - Commercial International Life Insurance. Enerpac. Enerpac Tool Group. MARHABA TOURS,". -Responsible for Sales & Marketing and technical support for assigned countries.-Supporting and obtaining orders from customers and distributors, as well as developing high level contacts to win multimillion dollar projects. -Finding new distributors; evaluating, motivating and managing them.-Preparing and Presenting Technical Training on Hydraulic Tools to Distributors and Customer, conducting seminars and organizing exhibitions.-Presenting financial reports, forecasts, marketing and sales reports on a regular basis to management.                                       Show less. •Sales & Marketing and technical support in certain countries.•Presenting financial reports, marketing and sales reports on regular basis to management. •Making weekly and monthly forecasts for Middle East & CIS & GCC countries.•Developing other countries and regions as requested by management.•Support and motivate distributors.•Identify new customers, Markets and Projects.•Organize events, exhibitions, seminars and p",,"🔹 Regional Manager at Enerpac 🔹With 18 years of experience in the industrial sector, I excel in managing distribution channels and fostering strategic partnerships across the Middle East and North Africa. My deep knowledge of industrial applications, combined with an extensive network in Saudi Arabia, Kuwait, Bahrain, Egypt, Libya, and North Africa markets, enables me to deliver exceptional results to the organization and the clients.Fluent in Arabic, English, and French, I thrive in multicultural environments, effectively communicating with the clients and work partners in MENA region to achieve our organization targets.At Enerpac, I am committed to empowering our partners and clients by providing access to top-tier products and services. I believe in the power of strong relationships and teamwork to achieve collective success in today’s competitive landscape.Let’s connect to explore how we can drive innovation and enhance performance in the industrial sector together!As a regional manager at Enerp"
96,"Citizen Journalist. Colaborador: serviços educativos e museológicos.. Colaborador: serviços educativos.. Columnist. Consultant, Social Management and Professional Coaching. External Expert Evaluator | Portuguese Representative on the Management Committee, Action CA21143. Guest Professor. Guest Professor and Research. Guest Professor and Researcher. Human Resources team member. Investigador em Pós-Doutoramento | Postdoctoral Research Fellow. Investigador Integrado. Manager of social and educative projects. Research Fellow. Researcher and University Professor","BOM DIA. Casa-Museu de Guerra Junqueiro (CM do Porto). CATÓLICA-LISBON | Executive Education. COST Association - European Cooperation in Science and Technology. Duarte Tarré Association. Fidelidade. Foundation for Science and Technology. Freelance, self-employed. Jornal Económico. Museu Municipal e Arquivo de Valongo. Público. UNIFAE. Universidade Católica Portuguesa. University of São Paulo",". .. ∙ Management of the social plan for people with socioeconomical lack;∙ Creating and management of social communitary programmes;∙ Member of evaluation panels for social grants assignments;. Criação, catalogação, inventariação e investigação da coleção de História, Identidade e Cultura 'O Nascer de uma Coleção'. Criação, catalogação, inventariação e investigação da coleção de História, Identidade, etnografia e Cultura 'Memórias partilhadas - Viagem no Tempo e nas Mentalidades'.. Elemento da equipa da Gestão e Desenvolvimento de Pessoas na Direção de Pessoas e Organização. Essential contents developed: (in)formal training, professional orientation, migrations, family and employability.. Faculdade de Ciências Humanas | Faculty of Human Sciences. Investigador colaborador / PhD researcher em Psicologia Social na Universidade de Lisboa∙ Criação e manutenção de bases de dados qualitativas e quantitativas;∙ Produção e participação científica em equipas internacio",,"From Human to Human, this is how I see my life and career.I have participated in training and work experiences that make me understand personal, work and social well-being as something essential.- With various consulting activities (Scientific, Human Resources Management, internal and external Communication), I have learnt that realities are diverse and people must always be listened to!- As a researcher and teacher/trainer, I have acquired skills in working with intercultural/intergenerational teams for scientific results in Social Psychology, Digital Connection and Communication.- I have participated in the digital transformation of people and organisations (e.g. websites, social media and contact(s) via digital).- As a social project manager, I have developed skills in team management, assertive communication and integration of diversity as an enabler for growth.- I like to collaborate with the media, being a multimedia producer at BOMDIA.eu and signing columns in the editorial groups P3| PÚBLICO and Jorn"
98,"Bilingual Account Support Executive (French/English). Flower Essence Practitioner Bristol Therapy Rooms Neal's Yard Remedies. Flower Essence Practitioner Bristol Therapy Rooms NYR. Freelance Translator and Conference Interpreter (Madrid, Spain) (French-Italian-Spanish). Healing Touch Certified Practioner, HTCP and Flower Essence Practitioner. Healing Touch Certified Practitioner, Flower Essence Practitioner, Meditation instructor. Integral Yogal Welless Spa Holistic Practitioner and workshop leader. International Travel Insurance Assistance co-ordinator. Shots Magazine Latin American Market Subscription Coordinator. Spanish Teacher. Translator (French-Spanish). Trilingual Operations & Customer Support Manager for France and Spain",Confederación de Comisiones Obreras (CC.OO.). EMAP. Europ Assistance España. Freelance Translator and Conference Interpreter  (French-Italian-Spanish). Inlingua. Integral Yoga NYC. Neal's Yard Remedies. Private Practice. Royal Mail. Spring Global Mail (UK),". Healing and Mentoring 1:1 and groups. In-person and online. My work is the result of many years of training and experience in the field of Energy Healing, FlowerEssences and Meditation.. Providing one on one sessions in Flower Essences and Healing Touch. Participating in events at Integral Yoga since 2012 in conjunction with the Natural Food Store in Day for Your Health street fairs, giving demonstrations and information to the community on Flower Essences and giving in-store mini consultations.  Presenting Flower Essence workshops at the Yoga Institute and being Key Speaker for the Institute’s “Spa Day for Women” event.",,"Hi. I am Flor I help self-aware women stop beating themselves up and grow into the person they really are. My work is the result of many years of training & experience in the field of Energy Healing, FlowerEssences and Meditation.My cherished clients dramatically benefit from a series of gentle, yet powerful mind–body techniques I have put together into a life enhancing system which brings deep-level relaxation, healing & transformation.I’m a linguist by training, with a Master’s Degree in French. I've worked as a Translator & Interpreter & occupied a number of corporate multilingual positions in 4 different countries. However, my true vocation started to slowly reveal itself when I began to get involved in flower essences, healing, meditation & complimentary health in the early 90s I completed a 2-year Diploma course in Flower Essences in the UK with world renowned Flower Essence Expert and Author Clare G. Harvey. I also hold a ITEC Diploma in Anatomy & Physiology & I’m a trained Meditation Instructo"
99,Admin and assistant for Warehouse manager. Buyer for Marketing Goods. Procurement Manager. Procurement Manager for Raw Material. Project Assistant for Markting services. Senior Buyer for Marketing Services. Sourcing Manager for Marketing Services,"Bayer Crop Science. FrieslandCampina. Mitsubishi Electric Vietnam Co., Ltd.",". - Be responsible for Marketing Services (Commercial Insights, Congress and Events, Marketing Agencies, Sales & Marketing Operations, Media Agencies ).- Collaborate and support Asean sourcing strategy. - Be responsible for raw material spend in Vietnam - Take lead for subcategory ( vitamin and premix) for countries in Asean",,Seeking an intersting job to enhance my professional skill in a dynamic and fast growing company where I can be offered chanllenging and creative tasks.
100,"Business Development Manager - Fintech. CEO & Founder. Co-Founder. Co-Founder, CTO. Compliance Intern. Director Of Business Development. Junior Financial Analyst. Project Manager. Senior Business Development Manager. Student Mentor",Dalwood Enterprises Ltd. ESSEC Business School. Fertart. ICC Russia. Kubia. Rosbank. Sleek. Smoofy. Stealth Startup. Syfe,". > Leading the project of an E-wallet and remittance company in Singapore. Successful MVP launch, Soft launch. > Reached 1500 active paying customers> Successfully obtained the Remittance license under MAS PSOA> Built a strong developers team, product team. Created Processes for Customer Support, Execution of business strategy, Led the development of the banking core,payment processing, IT architecture >Utilized data-driven approach to project execution. > Leading the project of creating a business e-wallet (Sleek Business Account) and Pre-paidcard program for existing and new clients of Sleek> Working with different payment partners, banks and international payments providers to establish the project framework and prepare the project for the kick-off> Creating the business process for Beta-launch. Partnering with various departments and stakeholders to execute the project strategy> Leading the MAS PSA license application to a successful approval> Kick-off of the Closed and Open Beta-testing of Sleek Busines",,"What a guy like me can do in Singapore? Correct! Build a Career, Network and pursue my passion for coding and creating digital products!  Click See more for my Story ->>Down the road, I Founded Kubia - a FinTech Digital Payments platform & Pre-Paid cards solution headquartered in Singapore. I contributed to receiving 2 MAS Payments licenses (under old and new PSA regime), as well as led the project of building an SME Digital Bank for Sleek.com.(So I am an ex-Sleeker 😅 ) I am an Alumni of ESSEC Business School, and have a master in Public Administration. I speak fluent French, English and Chinese.I use Python and Ruby in Rails.  My biggest learning was when a server that I was managing got hacked to spread malware: lesson learned to use strong passwords! I believe in hard work and patience: and my hard work is my patience. Welcome to my Page!"
102,Food Server. Keyholder,"Candy Kitchen Shoppes, Inc.. Dumsers Dairy Land",Opened store dailyHelped to keep track of candy stock.Worked as shift leader.Trained new hire on how to effectively carryout the job.Served customers as well as answered any questions or inquiries.. Worked for 4 months as a server.,,
103,Engineering Manager. Owner,Aske Associates LLC. Honeywell,"Aske Associates LLC is a family business founded in 1965 by Leonard E. Aske (father) and Robert L. Aske (son) with a strong focus on product development.  Leonard had 40 patents.  Robert currently has 10 patents.  We invent ... design ... build ... test ... patent ... market ... produce new products.  Our website is askeass.synthasite.com. Mr. Aske was Engineering Manager of the Product Development Department managing a group of engineers who developed military products for the US Army, Navy and Air Force.",,
104,"Acting Deputy General Manager. Continuous Improvement Manager. Corporate Quality Management & Senior Project Manager. Director Of Continuous Improvement. Director, Program Integration. Director, Reactor Decommissioning. Instructor, Operations and Supply Chain. Team Lead, Electronic Engineering",Canadian Nuclear Laboratories. Tundra Process Solutions. University of Calgary. UT Technology Edmonton,,,"I am a passionate and driven individual with a hunger for success. I’m known for being nimble and agile in my approach, which provides me with the ability to thrive and lead in dynamic and demanding settings. As a strong relationship builder, I rely on integral values such as honesty, effective communication, and mutual success to achieve corporate goals.I am proud of my ability to drive commercial success through an unrelenting focus on delivering excellence with efficiency, by combining my engineering expertise with sharp business understanding. Leading complex and high-risk energy infrastructure projects, which consistently result in superior products and customer offerings, my work provides a notable competitive edge for the enterprise. Specific areas of expertise include:• Electrical engineering• Mechanical engineering knowledge• Automation• Continuous Improvement, including Lean and Six Sigma principles and ISO standards• ISO 9001-2015 certification• Quality management systems• Vendor qu"
107,Professor. Senior Researcher,École Polytechnique. Inria,,,"As a Senior Researcher at Inria, I lead the joint Inria-Inserm team Premedical, dedicated to advancing precision medicine through innovative data integration and causal learning methodologies. With a background as a Professor of Statistics at École Polytechnique (IPP) and research experience at the Google AI lab in Paris, I specialize in developing causal machine learning methodologies, managing missing information, and assessing algorithm uncertainty.My recent focus has been on estimating intervention/treatment effects (policy learning, combining RCT and observational data) to accelerate the availability of targeted drugs on the market. Leveraging over a decade of collaborative work with clinicians across diverse domains, I've led impactful projects like Traumatrix, aimed at deploying AI decision support systems in French ambulances to optimize patient care.Additionally, I actively contribute to the R statistical software community by developing R packages, serving as a member of its foundation, and being a"
109,Assistant Manager. Business Analyst. Business Associate. Growth Intern. Investor Relations Intern,Comhard Technologies Pvt Ltd. EY. My FUNiture Story. Piramal Enterprises Limited. Shree Mahalaxmi Brick field,,,"Organized & goal-oriented Business Associate, Akshit worked with a manufacturing firm, consulting it on diverse issues like accounting standards and marketing strategies.He has a good academic record and takes part in various scholastic extracurriculars. He enjoys reading books."
111,Auxiliaire d'été,BANQUE RHONE ALPES,Accueil et travail administratif,,
112,MA public administration/Bestuurskunde. Medewerker. Recruiter a.i.. Supervisor belunit & Projectassistent. Verkoop medewerker binnendienst. Vestigingsmanager - Werving en selectie consultant. Werving en selectie | LVV-registervertrouwenspersoon,"Forum Business Research. Lensvelt Medical. Olympia. Partycentrum De Hut. Sparkall. Staffforkids, specialist in werkgeluk               in de kinderopvang. Tilburg University",". Lensvelt Medical is de specialist in medische hulpmiddelen en levert producten op het gebied van diabetes, incontinentie, medische voeding, wond- en stomazorg aan cliënten thuis, apotheken, zorginstellingen en thuiszorgorganisaties.. Partner in flexibele en vaste banen.. Sinds de oprichting in 1986 heeft Forum Business Research zich gespecialiseerd in onderzoek binnen de zakelijke markt. Van marketinginnovatie tot organisatieverandering, Forum helpt organisaties met het helder krijgen van hun business doelen en het vergaren van de daarvoor benodigde informatie.. 🌟 Werving en selectie ~ Voor organisaties die op zoek zijn naar de juiste mensen ondersteun ik graag bij het maken van de juiste match.🌟 LVV-registervertrouwenspersoon | Extern vertrouwenspersoon ~ Voor organisaties en hun medewerkers is het mijn passie om een bijdrage te leveren aan een positieve werkcultuur.",,𝘞𝘦𝘭𝘬𝘰𝘮 𝘣𝘪𝘫 𝘚𝘱𝘢𝘳𝘬𝘢𝘭𝘭 – 𝘸𝘢𝘯𝘵 𝘪𝘦𝘥𝘦𝘳𝘦𝘦𝘯 𝘷𝘦𝘳𝘥𝘪𝘦𝘯𝘵 𝘥𝘪𝘦 𝘴𝘱𝘳𝘢𝘯𝘬𝘦𝘭𝘪𝘯𝘨! www.sparkall.nlAdvies | Werving en selectie | Extern vertrouwenspersoonBij Sparkall draait alles om het laten schitteren van jouw persoonlijkheid en vaardigheden. Wat heb jij nodig om elke dag met plezier naar je werk te gaan? En andersom: wat heb jij als bedrijf nodig om de achterdeur dicht te houden en/of die juiste persoon te vinden die perfect past bij jouw organisatie? 🌟 Advies ~ Samen bouwen we aan een solide basis voor succesvolle samenwerkingen en het behoud van enthousiaste medewerkers binnen jullie organisatie.🌟 Werving en selectie ~ Voor organisaties die op zoek zijn naar de juiste mensen ondersteun ik graag bij het maken van de juiste match.🌟 Extern Vertrouwenspersoon ~ Voor organisaties en hun medewerkers is het mijn passie om een bijdrage te leveren aan een positieve werkcu
113,Angular js Developer. Frontend Developer. Junior Software Engineer. Software Developer,"CGS IT Technologies  Ltd.,. Schneider Electric. SoftSol. Wipro Limited",". Worked on web application ADNOC .ADNOC is developed to provide functional design specification for the Health, Safety and Environment Information System (HSEIS).For build this application used below technlogies:ANGULAR JS With Kendo UI, java script, html5.My role in this application are:Developed UI pages using Angular JS in Kendo UI.Tested the modules at UAT time.Fixed the bugs at UAT. Worked on web application in Healthcare domain.Developed new features using PHP (ver. 5.3) ,SLIM Framework(Ver 3.8), Java Script, J Query, HTML.HCS is developed to store information like medicines, test reports and the prescription details which are provided by the concerned doctor.My Role in project :•	Involving in the Design and Development of PHP Pages for application.•	Developing and designing Database queries.•	Integration of module with Views. •	Involving in maintaining database.          Show less. Working on AQUILA application. This is an application for the fraud investigator to identify fraud use cases by d",,"Experienced Software Engineer with a demonstrated history of working in the Information Technology & Services industry. Skilled in SQL,AngularJS, and HTML. Strong engineering professional with a Bachelor’s Degree focused in Information Technology from AITAM."
114,Product Manager,BoomDesign,PROVIDE BACKPACK DESIGN AND TRADE SERVICE IN MAINLAND OF CHINA,,
115,Beverly Scott MFT. Owner,Beverly Scott Licensed Marriage Family Counselor. Beverly Scott LMFT,". I have worked with clients for 20 years, had extensive training from experts in the fields of couples & singles counseling which includes Harville Hendrix (Imago Therapy), Terry Real (Relationship Therapy), Pia Melody (Codependence & Trauma). I have taught classes in Family  Communication & Divorce Survival, and Child Custody Mediation. I have studied ways to bring more peace into your life. My work is my passion.",,"Twenty years of training with experts in all fields. This includes couples counseling, addiction, family systems, communication, trauma & grief, mediation & conflict resolution, divorce & separation, pre-marital counseling, post adoption issues, aging & spiritual issues.i am also now trained in EMDR and brain spotting used for trauma which has proven very successful."
118,Inspector de seguridad. Jefe de guardia. Tecnico de Voladura. Trainee,CONTRATISTA SECTOR IV. FAMESA EXPLOSIVOS. Rock Drill Group. SOTRAMI S.A,"•	 Coordinar con las áreas responsables de mina para la asignación de labores o áreas de trabajo para realizar el seguimiento, monitoreo, evaluación, implementación, recomendación de las mallas de perforación y voladura con el objetivo de optimizar los indicadores en los resultados de voladura con el uso de nuestros accesorios y explosivos.•	Monitorear, levantar y evaluar de datos de voladura ejecutados antes de la implementación de las recomendaciones para identificar errores y fallas en el desempeño del personal y en cuanto a los estándares de voladura en ejecución o establecidos.•	Liderar y ejecutar el proceso de iniciación electrónica de voladura para asegurar una correcta detonación alineado al pedido del cliente•	Medición de datos de los resultados de la voladura y su análisis: sección real, longitud de avance, medición de tacos, tomas fotográficas para análisis de fragmentación, recuperación de equipos y retorno de interior mina.•	Análisis de datos, registros de monitor",,"Ingeniero de Minas titulado, colegiado y habilitado con experiencia en Voladura, Operaciones Mineras Subterráneas; en áreas de Mina, Planeamiento, Costos, Seguridad y Salud en el trabajo. Con capacidad de evaluar, planificar, organizar, dirigir y controlar los procesos que componen la cadena de valor de las operaciones mineras y enfoque en el incremento de la producción mediante la optimización de procesos, reducción de costos y un liderazgo dirigido al logro de objetivos en plazos establecidos, cumpliendo estándares de seguridad y al cuidado del medio ambiente. Proactivo, responsable, puntual, gusto por el trabajo en equipo, iniciativa para resolver problemas eficientemente, mejora continua y gestión de proyectos."
119,Financial Adviser. Founding Partner,Saxby Bridge. VISIS Private Wealth,". At VISIS Private Wealth, we combine our wealth management expertise with an entirely personal approach to maximise the potential of your wealth.When I founded VISIS back in 2001, I was determined to establish an approach that set us apart from the traditional financial planning services provided by large financial institutions.Today, VISIS is recognised as one of Australia’s leading private wealth firms – known for our integrity, exceptional wealth management expertise and client-centred approach.For us, it’s all about people – not pre-packaged products.We are 100% privately owned and licenced which means there are no external alliances or conflicts involved. We’re motivated solely by your needs, provide targeted solutions and measure our success by your success. We combine our personal approach with a full range of services and vast expertise. We have the heart of a boutique business with the resources and track record of a market leader.We help executives, medical professionals, business owners,",,"When I established VISIS Private Wealth in 2001, I had a vision to create a private wealth firm that was fundamentally different to traditional financial planning services.Today, I’m proud to say our holistic and client-centred approach sets the standard for financial planning and private wealth management in Australia. We’ve won some of our industry’s most coveted awards, and I am honoured to be consistently recognised as one of Australia’s top financial advisers. VISIS is 100% privately owned. The beauty of being completely privately owned and licenced is that we’re an advisory firm wholly-focused on finding financial solutions to suit your needs, not a company selling financial products. My promise is we always put your interests first. With me, you feel important because you are important. I consider it a privilege to help you take control of your financial future. I want you to ‘rest easy’, knowing your financial affairs are managed so you can focus your energy on being top of your game in "
120,Addetto commerciale. Direttore amministrativo e finanziario. project financial manager. Responsabile amministrativo. sales manager e project financial manager,Frabo s.r.l.. Gruppo Nico Srl. se-project srl. SOLON S.p.A.,"addetto commerciale presso una società di import-export all'ingrosso di abbigliamento e accessori con compiti di gestione e assistenza della clientela italiana ed estera.Per brevi periodi iniziali gestione dei reparti e della logistica con lo scopo di conoscere meglio l'intera azienda. Direttore amministrativo e gestione del personale presso Frabo Srl, azienda dove avevo iniziato a lavorare dopo la fine del mio percorso di studi. Project financial manager con compito di gestione e coordinamento, preparazione e stipula della contrattualistica (contratti EPC, O&M, di finanziamento, di diritto di superficie ecc.) relativa ad impianti fotovoltaici corporate (fra cui Interporto di Padova e Sistema Solare Srl). Gestione contrattuali di numerosi impianti fotovoltaici middle.. Responsabile amministrativo di una delle società facente parte di un grande gruppo di vendita al dettaglio di abbigliamento ed accessori.Registrazioni contabili, controllo di gestione e redazione dei bilanci. Sales Manager e Project Financial",,
122,Contador general. Contadora,AR CONSULTORES ASOCIADOS SAS. GALVEZ & GARRIDO GRUPO GERENCIAL SAS. SYSDATEC DE COLOMBIA SAS,"Liquidación de impuestos nacionales, distritales y municipales, conciliación mensual de todas las cuentas del balance, elaboración y análisis de estad os financieros mensuales, planeación fiscal encaminada a la futura presentación del Impuesto de Renta y Complementarios, transmisión de documentos soportes, transmisión de nomina electrónica, presentación de información exógena nacional, distrital y municipal.. Liquidación de impuestos nacionales, distritales y municipales, elaboración y análisisde estados financieros, presentación de información exógena nacional, distrital ymunicipal, presentación de información a superintendencias de sociedades, puertosy transporte, auditoría interna, atención a requerimientos estatales.. Revisoría Fiscal con presentación de informes de hallazgos, liquidación de impuestosnacionales, distritales y municipales, análisis de cuentas, elaboración y análisis deestados financieros, presentación de información exógena nacional.",,
123,Associate Principal Engineer. Associate Technical Specialist. Senior Software Development Engineer. Technical Specialist,ABB,. Windows based Software Development,,"Position: Technical Specialist, Scrum MasterDomain : Industrial AutomationTechnology : C# .Net, WCF, WPF, VC++, OPC, InstallShield, DevOpsPlatform : Microsoft WindowsEmployer: ABB GISPL, Bangalore"
125,Associate Intern at McKinsey & Company. Lab aide. Marie Curie fellow with GreQuE and QuEng PhD Fellowship. Master Thesis. Tutor for undergraduate students. Visiting PHD Student. Visiting Research Scholar,Concordia University. Institut Néel CNRS. McKinsey & Company. Université Grenoble Alpes. University of Duisburg-Essen. University of Oxford,"Analyzing data of electron paramagnetic resonance spectra using the MATLAB add-in Easy-Spin.. Based in Grenoble, I work at the Néel Institute on spin quits. After finishing my double degree Master at the KIT and INP Grenoble, I started my PhD at the Néel Institute in the QuantECA group. My research focuses on exploring the use of electron spins in semiconductor quantum dots as qubits.. Conducting tutorials and lab classes for undergraduate students in linear optics.. Conducting tutorials for undergraduate students in physics and mathematics.. During my time in Oxford I was working on the automation of quantum device tuning using machine learning tools. My main focus was on feature detection using image processing and computer vision techniques. The goal of the project was to reduce the necessary human interaction to analyze measurements of quantum devices.. Having chosen Düsseldorf as my home office, I am working in advanced manufacturing helping the firms client in implementing lean management structures.",,
126,Directeur,Davart Films Productions,"DavArt Films Productions is a company directed by professionals who have extensive experience and creativity in the conception and production of artistic videos. We offer a complete service from idea conceptualization to delivery of the final product, for all kinds of projects: presentations, conferences, events, shows, inaugurations, trainings, performances, sport competitions, etc…, may they be for the Web, the television or for big screen presentations.",,
127,FCA Secondment. FinTech Examiner. Junior Counsellor. Summer Intern. Summer Student,Bermuda Monetary Authority. Butterfield Group. Financial Conduct Authority. Hiscox. WindReach,"At the Bermuda Monetary Authority (BMA), I hold a key role as a Fintech Examiner, overseeing critical operations within our Digital Asset Business Act (DABA) regime. My primary focus lies in supervising and licensing entities, ensuring compliance with regulatory requirements. I take pride in contributing to the development of a vibrant fintech ecosystem by continuously enhancing our regulatory toolkit. Moreover, I actively engage with regulators on collaborative initiatives to promote mutual growth and innovation in the fintech industry.                                       Show less. Data Specialist at Kiskadee ILS (Hiscox). Collaborating closely with a dynamic team, I leveraged my expertise in finance. I played a role in data migration projects to enhance the team's ability to analyze and interpret complex data.. I had the privilege of interning at Butterfield Bank. This role demanded a comprehensive understanding of finance and leadership skills. Working alongside seasoned professionals, I contributed to ",,
128,Commercial Assistant. DIGITAL MARKETING STRATEGIST. Estate Agent. MARKET RESEARCH ANALYST. WEB DESIGNER,Aurify Brands. Beto Perruquers. GfK. Securitas. Tecnocasa,"• Developing of the Website functionality, structure and design• User Experience and Usability analysis • Testing the responsive web design and providing support to the web development team to apply the changes• Conducting the Search Engine Optimization finding the right keywords, tags, meta description and optimizing images • Tracking Google Analytics and finding the next marketing strategies and opportunities • Making recommendations to senior management analyzing the competitors and developing market research reports• Design of email marketingwww.aurifybrands.com                                       Show less. Creación y rediseño de la web online del salón de belleza de Barcelona y posicionamiento SEO mediante la plataforma Wix a modo de afición, sin ánimo de lucro.Control, seguimiento y análisis de visitas recibidas http://peluqueria-barcelona.wix.com/betoperruquers. GfK is Germany's largest market research institute, and the fourth largest market research organisation in the world:",,"Marketing Professional with 5+ years of experience in Digital Marketing, Website Design, Social Media Management, Content Marketing and Market Research. Possess a Master in Marketing and expertise in Market Research and Marketing analytics. Motivated, creative and quick problem solving. Strong ability to create  and present content, engaging new audiences, and finding potential clients"
130,Client Services. Commission Sales Associate. Sales Associate,Dillard's Inc.. Louis Vuitton. Neiman Marcus Group. Saint Bernard. Saks Fifth Avenue,". -Building relationships with clients and scheduling appointments -Achieving sales goals while also giving luxury experience-Maintaining high store presentation. -Collaborating with brands such as Hugo Boss, Coach, and Magnanni and providing expert knowledge to the customers-Organizing back stock of shoes while maintaining its cleanliness -Meeting sales goals daily while also opening up credit applications -Customer service. -Maintaining readiness of  fitting rooms-Customer service-Re-stocking, knowledge of inventory, general assistance with clientele   -Used organizational skills to present  mens clothing racks -Color coordinating  and sizing in proper brands in the right places-Maintaining a great attitude. •Understand and cater to individual preferences•Recommend products and help customers make informed decisions•Meet and exceed sales targets through effective communication•Stay updated on product knowledge and industry trends•Participate in promotional events to drive sales and enhance custome",,"I am currently a full-time student at the University of North Texas, while also working full-time in the world of retail. As a seasoned and bilingual Sales Associate with an Associate of Arts degree, I am committed to continuous improvement in all aspects of my life, whether it's academia, work, or personal well-being.I’m very goal oriented with a background in luxury retail, I possess a keen eye for aesthetics, cultivated through both education and practical experience. This enables me to offer a unique blend of product knowledge, trends forecast , and an understanding of the upscale fashion market.Beyond my professional pursuits, I am deeply passionate about photography. I thrive on capturing moments that tell stories, utilizing manual mode to master elements such as shutter speed, ISO, and aperture. Eager to leverage my diverse skill set in the dynamic fashion industry and retail environment, I am dedicated to making meaningful contributions wherever I go."
131,Opticienne,HERVE POLLINI OPTIQUE. Optic 2000,"Groupe Optic 2000 , leader de la distribution d’optique en France.Tâches réalisées: Négociation commerciale Vente Développement du CA. Magasin indépendant crée en 2013 en forte croissance (CA annuel +10%)Tâches réalisées : Participation à l’ouverture du magasinNégociation commercialeProspection commerciale Développement du CAResponsabilité et gestion des achats Gestion et fidélisation portefeuille clients",,
132,Account Management Co-ordinator. Customer Servise Representative. Customs Specialist. Export Customer Service Specialist. Field Sales Executive. International Lines Steward. Maternity leave. NSS Processing Associate. Senior Citiphone Officer. Supply Chain Administrator,"Citibank Europe Plc. DHL Freight. Dixons Carphone. DSV - Global Transport and Logistics. HEINEKEN Česká republika, a.s.. Motherhood Maternity. STUDENT AGENCY",". - part of Supplier Control and Transaction team in Shared Service Centre in Brno- cooperation with Nordic Shared Service in Denmark- SAP user- booking, approving and matching merchandise invoices and credit notes- communication with buyers and suppliers- reconciliation of vendor accounts- month end activities- participation in process description creation- training of new starters within the team. - scanning invoices into the system- process invoices - follow strict criteria for invoice keying- regular reporting- communication with colleagues in Nordic Shared Services in Denmark. •	Logistics team Nordics•	Maintenance of the goods flow within supply chain •	Solving any issue which may occur on the logistics flow. •	Cooperation and communication with the other parts of logistic chain (planner, customer service,         transporters, 3rd party suppliers; other teams of Dixons Carphone Center of Excellence).. •	Receipt of orders, customer care, payment control and compensation•	Customer billing and ",,"In my current position, I focus on exporting the product to the final customer following communication with both external and internal customer, receipts of orders, customer care, payment control , customer complaint handling, creating reports, analyzes etc. I am experienced within operational part of department, communication with carriers, customs etc. I have worked in the environment of International companies in the field of customer care, logistics and financial services. I am an experienced SAP user in addition to all Microsoft application. I can offer professionalism, reliability a positive attitude, organizational skills, communicativeness and a constant smile. I like working in a team and I am loyal."
133,Field Manager. forest officer. research assistant. Research Technician,Maliau Basin Conservation Area. Rhino and Forest Fund (RFF). SEARRP. university of malaysia sabah. University of Montana,"Bird's study. Chlorophyll, tannin and phenol analysis. Forest Restoration Work. monitoring the conservation and research works. plant cell tissue culture (orchids)",,
135,"District Leader,. Operations. Operations Management","Primerica Financial Services. ProMarketing, Inc.. U.S Couriers",". I am a Financial Analyst.  I use an educational approach in teaching families how money works.  Provide complimentary planning and coaching to ensure families are in the proper programs to become properly protected, debt free, and financially independent.. I was in charge of routing drivers for delivery and pickup of all types of documents for lawyers, Title Companies, Construction Companies, Mortgage companies, and Advertising agencies all over the DFW metroplex.",,"Financial Analyst with broad experience in all aspects of finance and financial management. Direct experience with Auto/Homeowners/Life Insurance, financial consulting, debt consolidation, first/second/refinance mortgages, and all types of investing. Interested in helping the people who need my help the most, Middle Income America!  I am also interested in sharing a business opportunity to those looking for something different and exciting.  My main goal is to offer my services to as many  families as I can while giving them and others the opportunity to fill the positions at my future outlets.Specialties: Auto and Homeowners Insurance reffering, Life insurance, Mortgages, Investing, and Developing/Training part time and full time independent agents/independent business owners."
